Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
Student,,,
,PersonId,string,hash
,AadUserId,string,hash
,Surname,string,mask
,GivenName,string,mask
,MiddleName,string,mask
,PersonRole,string,no-op
,StudentGrade,string,no-op
,OrganizationId,string,no-op
,OrganizationName,string,no-op
ReadingProgress_activity,,,
,AadUserId,string,hash-no-lookup
,SignalId,string,no-op
,SignalType,string,no-op
,StartTime,timestamp,no-op
,AppName,string,no-op
,Action,string,no-op
,AadGroupId,string,no-op
,ReadingSubmissionWordsPerMinute,integer,no-op
,ReadingSubmissionAccuracyScore,double,no-op
,ReadingSubmissionMispronunciationCount,integer,no-op
,ReadingSubmissionRepetitionsCount,integer,no-op
,ReadingSubmissionInsertionsCount,integer,no-op
,ReadingSubmissionObmissionCount,integer,no-op
,ReadingSubmissionAttemptNumber,integer,no-op
,ReadingAssignmentWordCount,integer,no-op
,ReadingAssignmentFleschKincaidGradeLevel,string,no-op
,ReadingAssignmentLanguage,string,no-op
,ReadingSubmissionRepetitionsRate,double,no-op
,ReadingSubmissionMispronunciationRate,double,no-op
,ReadingSubmissionInsertionsRate,double,no-op
,ReadingSubmissionObmissionRate,double,no-op
