Entity Name,Attribute Name,Attribute Data Type,nullable
dim_Assignment,,,
,AssignmentId,string,True
,DueDate,date,True
,AssignedDate,date,True
dim_AssignmentStatus,,,
,AssignmentStatus,string,True
,AssignmentStatusId,string,True
dim_Course,,,
,CourseId,string,True
,CourseName,string,True
,CourseGradeLevel,string,True
,EnrolledStudents,long,True
dim_Date,,,
,Date,date,True
,Year,integer,True
,Month,integer,True
,SchoolYearStartDate,date,True
,MonthOfSchoolYear,long,True
,WeekOfSchoolYear,long,True
,SemesterStartDate,date,True
,MonthOfSemester,long,True
,WeekOfSemester,long,True
dim_Instructor,,,
,InstructorId_pseudonym,string,True
,InstructorName,string,True
dim_Meeting,,,
,MeetingId,string,True
,MeetingDate,date,True
,StartTime,string,True
,EndTime,string,True
,MeetingType,string,True
dim_School,,,
,SchoolId,string,True
,SchoolName,string,True
,Country,string,True
,Latitude,string,True
,Longitude,string,True
dim_Section,,,
,SectionId,string,True
,SectionName,string,True
,SectionStartDate,date,True
,SectionEndDate,date,True
,CalendarCycle,string,True
dim_SignalType,,,
,SignalType,string,True
,SignalCategory,string,True
,SignalTypeId,string,True
dim_Student,,,
,StudentId_pseudonym,string,True
,Surname,string,True
,GivenName,string,True
,MiddleName,string,True
,StudentGrade,string,True
,UserPrincipalName_pseudonym,string,True
,BirthDate,string,True
,BirthCity,string,True
,BirthState,string,True
fact_Activity,,,
,ActivityId,string,True
,SchoolId,string,True
,CourseId,string,True
,SectionId,string,True
,InstructorId_pseudonym,string,True
,StudentId_pseudonym,string,True
,SignalTypeId,string,True
,ActivityDate,date,True
,StartTime,timestamp,True
fact_Assignment,,,
,AssignmentActivityId,string,True
,AssignmentId,string,True
,SchoolId,string,True
,CourseId,string,True
,SectionId,string,True
,InstructorId_pseudonym,string,True
,StudentId_pseudonym,string,True
,AssignmentStatusId,string,True
,AssignmentStatusDate,date,True
,AssignmentStatusTime,string,True
,Grade,double,True
fact_Enrollment,,,
,EnrollmentId,string,True
,SchoolId,string,True
,CourseId,string,True
,SectionId,string,True
,InstructorId_pseudonym,string,True
,StudentId_pseudonym,string,True
,EntryDate,date,True
,ExitDate,date,True
fact_MeetingAttendance,,,
,MeetingAttendanceId,string,True
,SchoolId,string,True
,CourseId,string,True
,SectionId,string,True
,InstructorId_pseudonym,string,True
,StudentId_pseudonym,string,True
,MeetingId,string,True
,JoinTime,timestamp,True
,LeaveTime,timestamp,True
,AttendanceTime_sec,integer,True
dim_Student_lookup,,,
,StudentId_pseudonym,string,True
,StudentId,string,True
,Surname,string,True
,GivenName,string,True
,MiddleName,string,True
,UserPrincipalName_pseudonym,string,True
,UserPrincipalName,string,True
